Yorum,Duygu
Sürekli eleştirileceğim korkusuyla yaşıyorum.,stresli
Evden çıkmadan önce ne giyeceğim bile beni geriyor.,stresli
"Her şey birikiyor, içim şişiyor.",stresli
Topluluk önünde konuşmak bana dayanılmaz geliyor.,stresli
Kaçmak istiyorum ama nereye bilmiyorum.,stresli
İç sesim beni hep daha fazlasını yapmaya zorluyor.,stresli
Dinlenmek istiyorum ama stres buna izin vermiyor.,stresli
Her gün baş ağrısıyla uyanıyorum.,stresli
Sevdiklerime zaman ayıramamak vicdan azabı yaratıyor.,stresli
Kendimi toparlayacak gücü bulamıyorum.,stresli
Bitmeyen sorumluluklar hayatımı zehir ediyor.,stresli
Gülümsemek için bile efor harcamam gerekiyor.,stresli
Bu stres beni tüketti.,stresli
Kendimi son zamanlarda çok yalnız ve değersiz hissediyorum.,üzgün
İnsanlar yanımda ama ben kendimi terkedilmiş hissediyorum.,üzgün
Hiçbir şey eskisi gibi keyif vermiyor.,üzgün
"Telefonum çalmıyor, kimse beni merak etmiyor gibi.",üzgün
Gülümsemeye çalışıyorum ama içimde bir boşluk var.,üzgün
Hayallerimi birer birer gömdüm.,üzgün
Hayatın yükü omuzlarımı ezdikçe daha da üzülüyorum.,üzgün
Yalnızken daha az yargılanıyorum.,üzgün
Kimse beni anlamıyor gibi hissediyorum.,üzgün
"Sürekli geçmişi düşünüyorum, ileriye bakamıyorum.",üzgün
Herkes mutlu görünürken ben neden hep böyleyim bilmiyorum.,üzgün
Gözlerimin altındaki morluklar hissettiklerimi anlatıyor.,üzgün
"İçimde sürekli bir hüzün var, geçmek bilmiyor.",üzgün
Mutlu insanları gördükçe içim daha çok acıyor.,üzgün
Sevdiklerimin beni anlamaması çok canımı yakıyor.,üzgün
Umutlanmak bile acı veriyor artık.,üzgün
Kalabalıklar içinde bile kendimi yalnız hissediyorum.,üzgün
Sadece biri “iyi misin?” dese gözlerim dolacak.,üzgün
Hayatımda hiçbir şey yolunda gitmiyor.,üzgün
Kimseye yük olmak istemediğim için uzak duruyorum.,üzgün
İnsanların yanında güçlü görünmeye çalışmak çok yorucu.,üzgün
Ne zaman mutluluğa yaklaşsam elimden kayıyor.,üzgün
Gözyaşlarımı kimseye göstermeden yutuyorum.,üzgün
Sessizlik bile artık huzur vermiyor.,üzgün
"Her şey üzerime geliyor, çıkış yolu yok gibi.",üzgün
Gülümsemem sahte ama başka çarem yok.,üzgün
Zaman geçtikçe her şeye karşı ilgimi kaybediyorum.,üzgün
"Kalbim sıkışıyor bazen, sanki bir şey eksik.",üzgün
İçimde çözülemeyen bir acı var.,üzgün
Umutlarım yavaş yavaş soluyor.,üzgün
"Artık hayal kuramıyorum, çünkü kırılmaktan yoruldum.",üzgün
İnsanlar arasında bile kendimi tek başıma hissediyorum.,üzgün
Kendimi hep eksik ve yetersiz hissediyorum.,üzgün
Düşüncelerim boğuluyormuşum gibi hissettiriyor.,üzgün
"Uyumak istiyorum, çünkü uyanmak çok zor geliyor.",üzgün
Sabahları neden kalkmam gerektiğini bile bilmiyorum.,üzgün
Duygularımı bastırdıkça daha çok içine kapanıyorum.,üzgün
İçimdeki sessiz çığlıklar duyulmuyor.,üzgün
Eskiden mutlu olduğum şeyler bile artık anlamsız.,üzgün
Sevilmediğimi hissettikçe uzaklaşıyorum herkesten.,üzgün
"Ne zaman mutlu olsam, bir şey onu bozuyor.",üzgün
Kendimi toparlamak için çabaladıkça daha da düşüyorum.,üzgün
Umursamaz görünsem de aslında içim kan ağlıyor.,üzgün
Yalnızlık boğucu bir sessizlik.,üzgün
Herkesi mutlu etmeye çalışmaktan kendimi unuttum.,üzgün
Dışarıdan sakin görünüyorum ama içim fırtına.,üzgün
"Bazen yok olmak istiyorum, sadece bir süreliğine bile olsa.",üzgün
İnsanlar beni ne zaman arasa gücüm kalmıyor.,üzgün
Hiçbir yere ait hissetmiyorum.,üzgün
"Yüzümdeki gülümseme, sadece maskem.",üzgün
"Kalbim ağırlaşıyor, bazen taşıyamıyorum.",üzgün
Hiç kimseye kendimi tam anlatamıyorum.,üzgün
İnsanların arasına karışmak istemiyorum artık.,üzgün
Herkese yetmeye çalışmak beni bitirdi.,üzgün
Yalnız olmak hem rahatlatıyor hem de acıtıyor.,üzgün
Güzel günlerin sadece geçmişte kaldığını düşünüyorum.,üzgün
"Geceleri daha çok üzülüyorum, çünkü sessizlik içimi deliyor.",üzgün
Her şey anlamını yitirmiş gibi.,üzgün
Kendimi sürekli suçlu hissediyorum.,üzgün
İçimdeki acıyı tarif edecek kelime bulamıyorum.,üzgün
Yaşadığım hiçbir şeyin anlamı yok gibi.,üzgün
Hayatın beni unuttuğunu hissediyorum.,üzgün
Geçmişin pişmanlıkları peşimi bırakmıyor.,üzgün
Kalbim kırıldı ama kimse bilmiyor.,üzgün
Konuşacak birinin olmaması beni daha da yalnız hissettiriyor.,üzgün
Hayatın beni sürüklediği yerde huzur yok.,üzgün
Kimseye yük olmak istemediğim için susuyorum.,üzgün
Kimse yanımda olmasa da alıştım artık.,üzgün
Aynaya baktığımda tanıyamadığım biri var.,üzgün
Ağlamak istiyorum ama gözyaşlarım bile kalmadı.,üzgün
"İnsanlarla arama duvarlar ördüm, daha az acıtıyor.",üzgün
Sessizliğe gömülmek istiyorum.,üzgün
Herkes yoluna devam ederken ben yerimde sayıyorum.,üzgün
Tek bir cümleyle paramparça olabiliyorum.,üzgün
Hatalarım yüzünden kendimi affedemiyorum.,üzgün
"Sürekli düşüyorum, toparlanamıyorum.",üzgün
Bazen sabah olmasın istiyorum.,üzgün
"Kendimi kaybettim, bulamıyorum.",üzgün
Kaybettiklerimi düşününce gözlerim doluyor.,üzgün
Hayat bana oyun oynuyor gibi geliyor.,üzgün
Ne yaparsam yapayım iyi hissetmiyorum.,üzgün
Hiçbir şeyin anlamı kalmadı.,üzgün
İçimdeki boşluk her geçen gün büyüyor.,üzgün
Elimden gelenin fazlasını yaptım ama yine de olmadı.,üzgün
Sanki dünyada fazlalık gibiyim.,üzgün
Sevdiğim insanlar yavaş yavaş uzaklaşıyor.,üzgün
Eski anılar aklıma geldikçe üzülüyorum.,üzgün
"Hayal kırıklıkları artık canımı acıtmıyor, alıştım.",üzgün
Her şeyin normale döneceği günü beklemekten yoruldum.,üzgün
Herkes mutlu ama ben hâlâ aynı yerdeyim.,üzgün
Kendimi çaresiz ve zayıf hissediyorum.,üzgün
Bazen yok olsam kimse fark etmezmiş gibi geliyor.,üzgün
Dışarıda gülüyorum ama içim ağlıyor.,üzgün
Sevgiye inancımı yitirdim.,üzgün
Kendimle bile konuşmak istemiyorum artık.,üzgün
Kalbim taş gibi ama yine de kırılıyor.,üzgün
Günden güne hayattan soğuyorum.,üzgün
Duygularımı sakladıkça daha çok birikiyor.,üzgün
Ne yaparsam yapayım mutlu olamıyorum.,üzgün
1. Gülümsemeyi unuttum sanki.,üzgün
Hayatın bana vereceği güzel bir şey kalmadı.,umutsuz
Elimden geleni yaptım ama yetmedi.,umutsuz
Sürekli aynı döngünün içinde boğuluyorum.,umutsuz
Ruhum çökmüş gibi hissediyorum.,umutsuz
Geçmişimden kurtulmak istiyorum ama gelecek de korkutuyor.,umutsuz
Gülmekten vazgeçeli uzun zaman oldu.,umutsuz
Her geçen gün daha çok tükeniyorum.,umutsuz
Umudun yıkılışı çok daha acı veriyor.,umutsuz
Bir şeyleri değiştirmek için gücüm kalmadı.,umutsuz
Kendi kendime tutunmaya çalışmaktan yoruldum.,umutsuz
Gülümsemek bile yorgunluk veriyor.,umutsuz
"Herkes mutlu gibi, sadece ben yapamıyorum.",umutsuz
"Kimse yardım etmiyor, zaten kimse umursamıyor.",umutsuz
Güzel şeylerin sadece başkalarına olduğunu düşünüyorum.,umutsuz
Artık umutlanmaktan korkuyorum.,umutsuz
"Sevmek, umut etmek, beklemek... hepsi yorucu geldi artık.",umutsuz
Hayatımı yeniden kurabilecek enerjiye sahip değilim.,umutsuz
Ne yaparsam yapayım olmuyor.,umutsuz
Her sabah uyanmak bir ceza gibi geliyor.,umutsuz
"Her şey fazlasıyla fazla, her şeyin yükü üstümde.",umutsuz
Artık hayal kurmayı bıraktım.,umutsuz
Zaman geçiyor ama ben geçmişte takılı kaldım.,umutsuz
İçimde hiçbir şeyin iyi olacağına dair his kalmadı.,umutsuz
Hayat bana karşı sanki özel olarak acımasız.,umutsuz
İnsanlar konuşuyor ama hiçbir şey değişmiyor.,umutsuz
"Kaybolmuş hissediyorum, yönümü bilmiyorum.",umutsuz
Kendimi boşlukta hissediyorum.,umutsuz
Bazen hiç uyanmasam daha iyi olur gibi geliyor.,umutsuz
"Nereye gitsem aynı his, hiçbir yere ait değilim.",umutsuz
Sevdiklerim bile uzaklaşıyor artık.,umutsuz
Umutsuzluk yavaş yavaş beni ele geçiriyor.,umutsuz
"Kendimi yok sayıyorum, çünkü kimse varlığımı fark etmiyor.",umutsuz
"Herkes yolunu buldu, ben yerimde sayıyorum.",umutsuz
Hiçbir yere ait hissetmemek çok yorucu.,umutsuz
Bir gün bile rahat nefes alamadım.,umutsuz
Çaba harcamak anlamsız geliyor.,umutsuz
Her şey üzerine kurulu ama hepsi çöküyor.,umutsuz
"İçim bomboş, hayata dair bir şey kalmamış.",umutsuz
Gelecek planı yapmak bana imkânsız geliyor.,umutsuz
"Her şey yokuş aşağı gidiyor, durduramıyorum.",umutsuz
Hiçbir çaba sonuç vermiyor.,umutsuz
Bir şeye başlayacak enerjim yok.,umutsuz
Sanki hiç kimse beni duymuyor.,umutsuz
Kimseye anlatacak halim kalmadı.,umutsuz
Sadece var oluyorum ama yaşamıyorum.,umutsuz
"Umutlarım tükendi, hayallerim soldu.",umutsuz
Kendime güvenim tamamen gitti.,umutsuz
En son ne zaman mutlu hissettim hatırlamıyorum.,umutsuz
"Kaybettiklerim geri gelmeyecek, bunu kabullenmek çok zor.",umutsuz
Gözümde her şey değersizleşti.,umutsuz
Çabalamaya değmeyeceğini öğrendim artık.,umutsuz
Kalabalıklar içinde yalnız olmak ne acı.,umutsuz
"İnsanlara umut vermek zorunda değilim, kendime bile veremiyorum.",umutsuz
Kendime bile inancım kalmadı.,umutsuz
Gittiğim her yol çıkmaz sokak.,umutsuz
İçimdeki ses bile artık susmuş gibi.,umutsuz
Güzel şeyler bana uğramıyor.,umutsuz
Ne kadar uğraşırsam uğraşayım olmuyor.,umutsuz
Her şey ters giderken güçlü kalmak mümkün değil.,umutsuz
İçimde kırık dökük bir enkaz var.,umutsuz
Günler geçiyor ama ben ilerleyemiyorum.,umutsuz
Yaşamak sadece sabretmek oldu.,umutsuz
Kırıldıkça tamir etmeye çalışmak ne kadar mantıklı?,umutsuz
Biri beni sarsıp “geçecek” dese bile inanmam.,umutsuz
Yaşamak artık sadece bir alışkanlık.,umutsuz
Her şey için çok geç olduğunu düşünüyorum.,umutsuz
İçimdeki karanlık hiç aydınlanmıyor.,umutsuz
Güven kaybı en çok beni yıktı.,umutsuz
Beni hayatta tutan hiçbir şey kalmadı gibi.,umutsuz
Ne bir hayalim kaldı ne de bir hedefim.,umutsuz
Kendi hayatımda bile misafirim gibi hissediyorum.,umutsuz
Sanki tüm dünya sırtıma binmiş gibi.,umutsuz
Sürekli geri düşmekten bıktım.,umutsuz
"Sesimi kimse duymuyor, çünkü bağıracak hâlim yok.",umutsuz
Ne zaman bir şey yoluna girse hemen bozuluyor.,umutsuz
Aynaya baktığımda tanıyamadığım biri var.,umutsuz
"Herkes hayata devam ediyor, ben hâlâ başa dönüyorum.",umutsuz
İstediğim şeylerin bana uzaklığı beni kahrediyor.,umutsuz
Hiçbir şey beni mutlu etmiyor.,umutsuz
"Sabretmenin bile bir sonu varmış, öğrendim.",umutsuz
"Hayatımda ışık yok, hep karanlık.",umutsuz
Tükenmişlik hissi her geçen gün daha da büyüyor.,umutsuz
İnsanlara güvenmekten vazgeçtim.,umutsuz
İçimdekileri anlatamamak beni daha da boğuyor.,umutsuz
"Hep yarım kalıyorum, tamamlanamıyorum.",umutsuz
Her adımda biraz daha geri çekiliyorum.,umutsuz
"Yorgun değilim, bitmiş gibiyim.",umutsuz
Beklentisiz yaşamak daha kolay ama çok acı.,umutsuz
Bu umutsuzluk beni yavaş yavaş yok ediyor.,umutsuz
Hiçbir şeyin düzeleceğine inancım kalmadı. Her sabah gözümü açtığımda bir yükle uyanıyorum.,umutsuz
Gelecek kelimesi bile kulağa boş geliyor artık. Umut kelimesiyle aram açıldı.,umutsuz
Yıllardır çabalıyorum ama hâlâ aynı yerdeyim. Artık bir anlamı kalmadı.,umutsuz
"Bazen, hiçbir şey yapmadan saatlerce tavana bakıyorum. İçimde en ufak bir kıpırtı bile yok.",umutsuz
"Kendimi sanki boşlukta düşüyormuş gibi hissediyorum, tutunacak hiçbir şey yok.",umutsuz
"Kendimi bu dünyanın fazlası gibi hissediyorum. Sanki herkes bir rol oynuyor, ben sahnenin dışında kalmışım.",umutsuz
"Hayat sadece geçip gidiyor, ben ise sadece izliyorum. Ne hissettiğim bile belli değil artık.",umutsuz
"Sadece bir gün huzurlu uyanmak istiyorum. Savaşmadan, yorulmadan, ağlamadan.",umutsuz
İnsanlar bana güçlü olduğumu söylüyor ama ben her gün içimde yavaş yavaş yok oluyorum.,umutsuz
"Ne kadar çabalasam da hiçbir şey değişmiyor. Belki de sorun bende, bilmiyorum artık.",umutsuz
Artık gülümsemek bile yorucu geliyor. Sanki her şey sadece rol yapmaktan ibaret.,umutsuz
Sebepsiz bir huzursuzluk içimi kemiriyor.,huzursuz
Her an kötü bir haber alacakmışım gibi hissediyorum.,huzursuz
Gün boyu hiçbir şey yapmasam da içim daralıyor.,huzursuz
Midemde sürekli bir sıkışma hissi var.,huzursuz
Bir şey olacakmış gibi tedirgin hissediyorum.,huzursuz
Olaylara normal tepki veremiyorum.,huzursuz
Kalbim hızlı atıyor ama nedenini bilmiyorum.,huzursuz
"Aşırı duyarlıyım, her şey batıyor.",huzursuz
İçimde sürekli bir gerginlik var.,huzursuz
İçime sinmeyen bir şeyler var ama ne olduğunu bilmiyorum.,huzursuz
Etrafımdaki sesler bile beni rahatsız ediyor.,huzursuz
Küçük kararlar bile beni strese sokuyor.,huzursuz
Her an kötü bir şey olacakmış gibi bekliyorum.,huzursuz
Odanın havası bile boğucu geliyor.,huzursuz
Uyurken bile rahat hissedemiyorum.,huzursuz
Kendimi sürekli takip ediliyormuş gibi hissediyorum.,huzursuz
Oturduğum yerde bile içimde bir huzursuzluk var.,huzursuz
Etrafımdaki düzen bile içimi sıkıyor.,huzursuz
Sessizlik artık bana huzur değil baskı veriyor.,huzursuz
Plan dışı her şey beni tedirgin ediyor.,huzursuz
İnsanlarla birlikteyken bile rahatsızım.,huzursuz
"Derin bir huzursuzluk hissi, tarif edemiyorum.",huzursuz
"Yerimde duramıyorum, içim kıpır kıpır ama kötü anlamda.",huzursuz
İnsanlara bir şey anlatmak içimi daha da daraltıyor.,huzursuz
Kendi evimde bile güvende hissetmiyorum.,huzursuz
Sürekli üstümde bir baskı hissi var.,huzursuz
Her şeyi kontrol etmek zorunda hissediyorum.,huzursuz
Çevremdeki insanların ne düşündüğünü takıntı haline getirdim.,huzursuz
Sabah kalktığımda içimde bir ağırlık oluyor.,huzursuz
Eşyaların yerini değiştirince bile geriliyorum.,huzursuz
Küçük şeyler bile kafama takılıyor.,huzursuz
Belirsizlik dayanılmaz hale geliyor.,huzursuz
Sakin kalmak imkânsız gibi.,huzursuz
Gözlerim açık ama hiçbir şey görmüyormuşum gibi.,huzursuz
