Yorum,Duygu,Temizlenmis_Yorum,Temizlenmis_Yorum_Stopless,Lemmatize_Yorum
Sosyal ortamlarda hep yanlış bir şey söyleyecekmişim gibi kaygılanıyorum.,kaygılı,sosyal ortamlarda hep yanlış şey söyleyecekmişim kaygılanıyorum,sosyal ortamlarda yanlış şey söyleyecekmişim kaygılanıyorum,sosyal ortam hep yanlış şey söyle kaygılan
Çok kalabalık ortamlar beni rahatsız ediyor.,kaygılı,kalabalık ortamlar beni rahatsız ediyor,kalabalık ortamlar beni rahatsız ediyor,kalabalık ortam ben rahat et
Telefonum çaldığında bile kötü bir haber alacakmışım gibi hissediyorum.,kaygılı,telefonum çaldığında bile kötü haber alacakmışım hissediyorum,telefonum çaldığında kötü haber alacakmışım hissediyorum,telefon çal bile kötü haber al hisset
Bir şeyleri unuttuğumda başıma kötü bir şey gelecekmiş gibi hissediyorum.,kaygılı,şeyleri unuttuğumda başıma kötü şey gelecekmiş hissediyorum,şeyleri unuttuğumda başıma kötü şey gelecekmiş hissediyorum,şey unut baş kötü şey gel hisset
Ailem için yeterince iyi olmadığımı düşündükçe panik oluyorum.,kaygılı,ailem yeterince iyi olmadığımı düşündükçe panik oluyorum,ailem yeterince iyi olmadığımı düşündükçe panik oluyorum,aile yeterince iyi ol düşün panik ol
Sürekli tetikte olmak çok yorucu.,kaygılı,sürekli tetikte olmak yorucu,sürekli tetikte olmak yorucu,sürekli tetik ol yor
"Kalabalık yerlerde nefes almakta zorlanıyorum, kaygı basıyor.",kaygılı,kalabalık yerlerde nefes almakta zorlanıyorum kaygı basıyor,kalabalık yerlerde nefes almakta zorlanıyorum kaygı basıyor,kalabalık yer nefes al zorla kaygı bas
Yalnız kalınca düşüncelerim daha da artıyor.,kaygılı,yalnız kalınca düşüncelerim artıyor,yalnız kalınca düşüncelerim artıyor,yalnız kalın düşünce art
Yarın ne olacağını bilememek beni içten içe yıpratıyor.,kaygılı,yarın olacağını bilememek beni içten içe yıpratıyor,yarın olacağını bilememek beni içten içe yıpratıyor,yarın ol bil ben içten iç yıprat
Bir hata yaparsam herkes beni yargılar diye korkuyorum.,kaygılı,hata yaparsam herkes beni yargılar diye korkuyorum,hata yaparsam beni yargılar korkuyorum,hata yap herkes ben yargı diye kork
Geceleri kaygı yüzünden uyuyamıyorum.,kaygılı,geceleri kaygı yüzünden uyuyamıyorum,geceleri kaygı uyuyamıyorum,gece kaygı yüz uyu
Kendi duygularımı kontrol edememek beni endişelendiriyor.,kaygılı,kendi duygularımı kontrol edememek beni endişelendiriyor,kendi duygularımı kontrol edememek beni endişelendiriyor,kendi duygu kontrol et ben endişe
Sürekli olarak her şeyin kötü gideceğini düşünüyorum.,kaygılı,sürekli olarak şeyin kötü gideceğini düşünüyorum,sürekli olarak şeyin kötü gideceğini düşünüyorum,sürekli ol şey kötü git düşün
Başarısız olma korkusu beni felç ediyor.,kaygılı,başarısız olma korkusu beni felç ediyor,başarısız olma korkusu beni felç ediyor,başarı ol korku ben felç et
İnsanların ne düşündüğü konusunda fazla kafa yoruyorum.,kaygılı,i̇nsanların düşündüğü konusunda fazla kafa yoruyorum,i̇nsanların düşündüğü konusunda fazla kafa yoruyorum,UNK düşün konu fazla kafa yor
"Gerginliğim yüzüme vuruyor, insanlar fark ediyor.",kaygılı,gerginliğim yüzüme vuruyor insanlar fark ediyor,gerginliğim yüzüme vuruyor insanlar fark ediyor,gergin yüz vur insan fark et
Geçmişte yaptığım hatalar aklıma geldikçe kendime kızıyorum.,kaygılı,geçmişte yaptığım hatalar aklıma geldikçe kendime kızıyorum,geçmişte yaptığım hatalar aklıma geldikçe kendime kızıyorum,geçmiş yap hata akıl gel kendi kız
İş yerinde küçük bir hata bile beni günlerce etkiliyor.,kaygılı,i̇ş yerinde küçük hata bile beni günlerce etkiliyor,i̇ş yerinde küçük hata beni günlerce etkiliyor,UNK yerinde küçük hata bile ben gün etkile
Ani sesler beni anında panikletiyor.,kaygılı,ani sesler beni anında panikletiyor,ani sesler beni anında panikletiyor,ani ses ben an panikle
Topluluk içinde konuşurken boğazım düğümleniyor.,kaygılı,topluluk içinde konuşurken boğazım düğümleniyor,topluluk içinde konuşurken boğazım düğümleniyor,topluluk iç konuş boğaz düğümle
"Sosyal medya beni sürekli kaygılandırıyor, herkes mükemmel gibi.",kaygılı,sosyal medya beni sürekli kaygılandırıyor herkes mükemmel,sosyal medya beni sürekli kaygılandırıyor mükemmel,sosyal medya ben sürekli kaygılan herkes mükemmel
Gelecek planı yapmak imkansız gibi geliyor.,kaygılı,gelecek planı yapmak imkansız geliyor,gelecek planı yapmak imkansız geliyor,gel plan yap imkan gel
Uçak yolculuğu öncesi karnıma ağrılar giriyor.,kaygılı,uçak yolculuğu öncesi karnıma ağrılar giriyor,uçak yolculuğu öncesi karnıma ağrılar giriyor,uçak yolcu önce karın ağrı gir
"Yetişememekten, geç kalmaktan sürekli kaygılanıyorum.",kaygılı,yetişememekten geç kalmaktan sürekli kaygılanıyorum,yetişememekten geç kalmaktan sürekli kaygılanıyorum,yetiş geç kal sürekli kaygılan
Sevdiklerime bir şey olacak diye sürekli endişeleniyorum.,kaygılı,sevdiklerime şey olacak diye sürekli endişeleniyorum,sevdiklerime şey olacak sürekli endişeleniyorum,sev şey ol diye sürekli endişe
Her şey kontrolümden çıkacakmış gibi hissediyorum.,kaygılı,şey kontrolümden çıkacakmış hissediyorum,şey kontrolümden çıkacakmış hissediyorum,şey kontrol çık hisset
Yanlış anlaşılmaktan korkuyorum.,kaygılı,yanlış anlaşılmaktan korkuyorum,yanlış anlaşılmaktan korkuyorum,yanlış anlaş kork
İnsanlarla yüz yüze gelmek beni yoruyor.,kaygılı,i̇nsanlarla yüz yüze gelmek beni yoruyor,i̇nsanlarla yüz yüze gelmek beni yoruyor,UNK yüz yüz gel ben yor
Evden çıkmadan önce her şeyi defalarca kontrol ediyorum.,kaygılı,evden çıkmadan önce şeyi defalarca kontrol ediyorum,evden çıkmadan önce şeyi defalarca kontrol ediyorum,ev çık önce şe defalarca kontrol et
Telefon konuşmaları bile beni geriyor.,kaygılı,telefon konuşmaları bile beni geriyor,telefon konuşmaları beni geriyor,telefon konuş bile ben ger
Yeni biriyle tanışmak bana büyük kaygı veriyor.,kaygılı,yeni biriyle tanışmak bana büyük kaygı veriyor,yeni biriyle tanışmak bana büyük kaygı veriyor,yeni biri tanış ben büyük kaygı ver
Kaygı geldiğinde başım dönmeye başlıyor.,kaygılı,kaygı geldiğinde başım dönmeye başlıyor,kaygı geldiğinde başım dönmeye başlıyor,kaygı gel baş dönme başla
"Geleceğe dair hiçbir plan yapamıyorum, her şey belirsiz.",kaygılı,geleceğe dair hiçbir plan yapamıyorum şey belirsiz,geleceğe dair hiçbir plan yapamıyorum şey belirsiz,gelecek dair hiçbir plan yap şey belirsiz
Önemli kararlar verirken kendime hiç güvenemiyorum.,kaygılı,önemli kararlar verirken kendime güvenemiyorum,önemli kararlar verirken kendime güvenemiyorum,önem karar ver kendi güven
En ufak başarısızlık beni haftalarca huzursuz ediyor.,kaygılı,ufak başarısızlık beni haftalarca huzursuz ediyor,ufak başarısızlık beni haftalarca huzursuz ediyor,ufak başarı ben hafta huzur et
Sürekli bir şeyleri kaçırıyormuşum gibi hissediyorum.,kaygılı,sürekli şeyleri kaçırıyormuşum hissediyorum,sürekli şeyleri kaçırıyormuşum hissediyorum,sürekli şey kaçır hisset
İş görüşmelerinde elim ayağım titriyor.,kaygılı,i̇ş görüşmelerinde elim ayağım titriyor,i̇ş görüşmelerinde elim ayağım titriyor,UNK görüşme el ayak titre
Bu dünyada yerim yokmuş gibi hissediyorum.,kaygılı,dünyada yerim yokmuş hissediyorum,dünyada yerim yokmuş hissediyorum,dünya ye yok hisset
Konuşurken sesimin titrediğini fark ettikçe daha çok panikliyorum.,kaygılı,konuşurken sesimin titrediğini fark ettikçe panikliyorum,konuşurken sesimin titrediğini fark ettikçe panikliyorum,konuş ses titre fark et panikle
Hiçbir şeyden keyif alamaz hale geldim.,kaygılı,hiçbir şeyden keyif alamaz hale geldim,hiçbir şeyden keyif alamaz hale geldim,hiçbir şey keyif al hal gel
Kimseyi hayal kırıklığına uğratmak istemiyorum ama hep kaygılıyım.,kaygılı,kimseyi hayal kırıklığına uğratmak istemiyorum hep kaygılıyım,kimseyi hayal kırıklığına uğratmak istemiyorum kaygılıyım,kimse hayal kırık uğra iste hep kaygı
Ailem bana güvensin istiyorum ama hata yapacağım diye korkuyorum.,kaygılı,ailem bana güvensin istiyorum hata yapacağım diye korkuyorum,ailem bana güvensin istiyorum hata yapacağım korkuyorum,aile ben güven iste hata yap diye kork
Alışverişe çıktığımda bile insanların bakışlarından rahatsız oluyorum.,kaygılı,alışverişe çıktığımda bile insanların bakışlarından rahatsız oluyorum,alışverişe çıktığımda insanların bakışlarından rahatsız oluyorum,alışveriş çık bile insan bak rahat ol
Uyumadan önce kafamın içi durmuyor.,kaygılı,uyumadan önce kafamın içi durmuyor,uyumadan önce kafamın içi durmuyor,uyu önce kafa iç dur
Kalp çarpıntılarım bazen durduk yere başlıyor.,kaygılı,kalp çarpıntılarım bazen durduk yere başlıyor,kalp çarpıntılarım bazen durduk yere başlıyor,kalp çarpıntı bazen dur yer başla
İlişkilerde hep terk edilmekten korkuyorum.,kaygılı,i̇lişkilerde hep terk edilmekten korkuyorum,i̇lişkilerde terk edilmekten korkuyorum,UNK hep terk et kork
Bir hata yaptığımda kendimi affedemiyorum.,kaygılı,hata yaptığımda kendimi affedemiyorum,hata yaptığımda kendimi affedemiyorum,hata yap kendi affet
Güvende değilim hissi sürekli içimde.,kaygılı,güvende değilim hissi sürekli içimde,güvende değilim hissi sürekli içimde,güven değil hissi sürekli içim
Gece yatağa girince aklıma binlerce olumsuz senaryo geliyor.,kaygılı,gece yatağa girince aklıma binlerce olumsuz senaryo geliyor,gece yatağa girince aklıma binlerce olumsuz senaryo geliyor,gece yatak gir akıl binlerce olumsuz senaryo gel
Düşüncelerim bana zarar veriyor gibi hissediyorum.,kaygılı,düşüncelerim bana zarar veriyor hissediyorum,düşüncelerim bana zarar veriyor hissediyorum,düşünce ben zarar ver hisset
Her zaman hazırlıklı olmalıyım hissi beni yoruyor.,kaygılı,zaman hazırlıklı olmalıyım hissi beni yoruyor,zaman hazırlıklı olmalıyım hissi beni yoruyor,zaman hazırlık ol hissi ben yor
Her an ağlayacak gibi hissediyorum.,kaygılı,an ağlayacak hissediyorum,an ağlayacak hissediyorum,an ağla hisset
Herkes benden bir şey bekliyormuş gibi hissediyorum.,kaygılı,herkes benden şey bekliyormuş hissediyorum,benden şey bekliyormuş hissediyorum,herkes ben şey bekle hisset
Geleceğim yokmuş gibi hissediyorum.,kaygılı,geleceğim yokmuş hissediyorum,geleceğim yokmuş hissediyorum,gel yok hisset
Sürekli kötü şeyler olacakmış gibi bir korku içindeyim.,kaygılı,sürekli kötü şeyler olacakmış korku içindeyim,sürekli kötü şeyler olacakmış korku içindeyim,sürekli kötü şey ol korku iç
Başkalarına göre yetersizim gibi geliyor.,kaygılı,başkalarına yetersizim geliyor,başkalarına göre yetersizim geliyor,başka yetersiz gel
Zamanla yarışıyormuşum gibi hissediyorum.,kaygılı,zamanla yarışıyormuşum hissediyorum,zamanla yarışıyormuşum hissediyorum,zaman yarış hisset
Toplantılar bana işkence gibi geliyor.,kaygılı,toplantılar bana işkence geliyor,toplantılar bana işkence geliyor,toplantı ben işkence gel
Dışarıda yalnız yürürken arkamda biri varmış gibi hissediyorum.,kaygılı,dışarıda yalnız yürürken arkamda biri varmış hissediyorum,dışarıda yalnız yürürken arkamda biri varmış hissediyorum,dışarı yalnız yürü arka biri var hisset
Kaygı atağı geldiğinde hiçbir şey düşünemiyorum.,kaygılı,kaygı atağı geldiğinde hiçbir şey düşünemiyorum,kaygı atağı geldiğinde hiçbir şey düşünemiyorum,kaygı atak gel hiçbir şey düşün
"Sunum yapmadan önce ellerim terliyor, dilim dolanıyor.",kaygılı,sunum yapmadan önce ellerim terliyor dilim dolanıyor,sunum yapmadan önce ellerim terliyor dilim dolanıyor,sunu yap önce el terle dilim dolan
Gelecekle ilgili düşününce mideme ağrılar giriyor.,kaygılı,gelecekle ilgili düşününce mideme ağrılar giriyor,gelecekle ilgili düşününce mideme ağrılar giriyor,gelecek ilgili düşün mide ağrı gir
Sağlık kontrollerinden hep kötü bir sonuç çıkacak sanıyorum.,kaygılı,sağlık kontrollerinden hep kötü sonuç çıkacak sanıyorum,sağlık kontrollerinden kötü sonuç çıkacak sanıyorum,sağlık kontrol hep kötü sonuç çık san
Her şey yolunda gitse bile kötü bir şey olacak diye korkuyorum.,kaygılı,şey yolunda gitse bile kötü şey olacak diye korkuyorum,şey yolunda gitse kötü şey olacak korkuyorum,şey yol git bile kötü şey ol diye kork
Kendi kendime konuştuğumu fark ettiğimde bile endişeleniyorum.,kaygılı,kendi kendime konuştuğumu fark ettiğimde bile endişeleniyorum,kendi kendime konuştuğumu fark ettiğimde endişeleniyorum,kendi kendi konuş fark et bile endişe
Kendime haksızlık ettiğimi fark ediyorum ama duramıyorum.,kaygılı,kendime haksızlık ettiğimi fark ediyorum duramıyorum,kendime haksızlık ettiğimi fark ediyorum duramıyorum,kendi hak et fark et dur
Zamanında yetiştiremezsem ne olur korkusu sürekli aklımda.,kaygılı,zamanında yetiştiremezsem olur korkusu sürekli aklımda,zamanında yetiştiremezsem olur korkusu sürekli aklımda,zaman yetiş ol korku sürekli akıl
Küçük detaylar bile beni çok düşündürüyor.,kaygılı,küçük detaylar bile beni düşündürüyor,küçük detaylar beni düşündürüyor,küçük detay bile ben düşün
Mesajıma geç cevap gelince bir şey mi oldu acaba diye düşünüyorum.,kaygılı,mesajıma geç cevap gelince şey oldu acaba diye düşünüyorum,mesajıma geç cevap gelince şey oldu acaba düşünüyorum,mesaj geç cevap gel şey ol acaba diye düşün
Kalabalıkta yürürken başım dönüyor.,kaygılı,kalabalıkta yürürken başım dönüyor,kalabalıkta yürürken başım dönüyor,kalabalık yürü baş dön
İnsanların arasında kendimi küçülmüş hissediyorum.,kaygılı,i̇nsanların arasında kendimi küçülmüş hissediyorum,i̇nsanların arasında kendimi küçülmüş hissediyorum,UNK ara kendi küçül hisset
Duygularımı gizlemeye çalışmak bile yoruyor.,kaygılı,duygularımı gizlemeye çalışmak bile yoruyor,duygularımı gizlemeye çalışmak yoruyor,duygu gizle çalış bile yor
Sessiz ortamlarda bile bir şeylerin ters gideceğini düşünüyorum.,kaygılı,sessiz ortamlarda bile şeylerin ters gideceğini düşünüyorum,sessiz ortamlarda şeylerin ters gideceğini düşünüyorum,ses ortam bile şey ters git düşün
Sürekli en kötü senaryoyu kuruyorum kafamda.,kaygılı,sürekli kötü senaryoyu kuruyorum kafamda,sürekli kötü senaryoyu kuruyorum kafamda,sürekli kötü senaryo kur kafa
Sırada beklerken bile içim daralıyor.,kaygılı,sırada beklerken bile içim daralıyor,sırada beklerken içim daralıyor,sıra bekle bile içim daral
İçimde garip bir baskı hissi var.,kaygılı,i̇çimde garip baskı hissi var,i̇çimde garip baskı hissi var,UNK garip baskı hissi var
"Metroya binerken içim sıkılıyor, ya çıkamazsam diye korkuyorum.",kaygılı,metroya binerken içim sıkılıyor çıkamazsam diye korkuyorum,metroya binerken içim sıkılıyor çıkamazsam korkuyorum,metro bin içim sıkıl çık diye kork
Herkesin beni izlediğini sanıyorum.,kaygılı,herkesin beni izlediğini sanıyorum,herkesin beni izlediğini sanıyorum,herkes ben izle san
Bir toplantı öncesi dakikalar geçmek bilmiyor.,kaygılı,toplantı öncesi dakikalar geçmek bilmiyor,toplantı öncesi dakikalar geçmek bilmiyor,toplantı önce dakika geç bil
Sosyal medyada paylaştığım bir şey yanlış anlaşılır mı diye kaygılanıyorum.,kaygılı,sosyal medyada paylaştığım şey yanlış anlaşılır diye kaygılanıyorum,sosyal medyada paylaştığım şey yanlış anlaşılır kaygılanıyorum,sosyal medya paylaş şey yanlış anlaş diye kaygılan
Tanımadığım biriyle konuşurken bile tedirgin oluyorum.,kaygılı,tanımadığım biriyle konuşurken bile tedirgin oluyorum,tanımadığım biriyle konuşurken tedirgin oluyorum,tanı biri konuş bile tedirgin ol
Kendime güvenememek her şeyi zorlaştırıyor.,kaygılı,kendime güvenememek şeyi zorlaştırıyor,kendime güvenememek şeyi zorlaştırıyor,kendi güven şe zor
Dış görünüşüm hakkında hep endişeliyim.,kaygılı,dış görünüşüm hakkında hep endişeliyim,dış görünüşüm hakkında endişeliyim,dış görün hak hep endişe
Duygularımı kimse anlamıyor gibi hissediyorum.,kaygılı,duygularımı kimse anlamıyor hissediyorum,duygularımı anlamıyor hissediyorum,duygu kimse anla hisset
Çalışmalarım yeterli mi diye sürekli düşünmekten yoruldum.,kaygılı,çalışmalarım yeterli diye sürekli düşünmekten yoruldum,çalışmalarım yeterli sürekli düşünmekten yoruldum,çalış yeterli diye sürekli düşün yor
Sorumluluklarım arttıkça kaygım da artıyor.,kaygılı,sorumluluklarım arttıkça kaygım artıyor,sorumluluklarım arttıkça kaygım artıyor,sorumluluk art kaygı art
Her şeyin mükemmel olması gerektiğini düşünüyorum.,kaygılı,şeyin mükemmel olması gerektiğini düşünüyorum,şeyin mükemmel olması gerektiğini düşünüyorum,şey mükemmel ol gerek düşün
"Geleceğe dair hiçbir şeyin garantisi yok, bu beni korkutuyor.",kaygılı,geleceğe dair hiçbir şeyin garantisi yok beni korkutuyor,geleceğe dair hiçbir şeyin garantisi yok beni korkutuyor,gelecek dair hiçbir şey garanti yok ben korkut
Hiçbir şeyi tam yapamıyor gibi hissediyorum.,kaygılı,hiçbir şeyi tam yapamıyor hissediyorum,hiçbir şeyi tam yapamıyor hissediyorum,hiçbir şe tam yap hisset
Kaygı beni ele geçirmiş gibi hissediyorum.,kaygılı,kaygı beni ele geçirmiş hissediyorum,kaygı beni ele geçirmiş hissediyorum,kaygı ben el geçir hisset
"Üzerimde sürekli bir baskı hissediyorum, bu stres beni tüketiyor.",stresli,üzerimde sürekli baskı hissediyorum stres beni tüketiyor,üzerimde sürekli baskı hissediyorum stres beni tüketiyor,üzeri sürekli baskı hisset stres ben tüket
"Ofisteki ortam aşırı gergin, huzursuzum.",stresli,ofisteki ortam aşırı gergin huzursuzum,ofisteki ortam aşırı gergin huzursuzum,ofis ortam aşırı gergin huzur
İş yerindeki teslim tarihleri yüzünden nefes alamıyorum.,stresli,i̇ş yerindeki teslim tarihleri yüzünden nefes alamıyorum,i̇ş yerindeki teslim tarihleri nefes alamıyorum,UNK yer teslim tarih yüz nefes al
Evin geçimi için sürekli plan yapmam gerek.,stresli,evin geçimi sürekli plan yapmam gerek,evin geçimi sürekli plan yapmam gerek,ev geçim sürekli plan yap gerek
"Geceleri düşünmekten uyuyamıyorum, stresim hiç geçmiyor.",stresli,geceleri düşünmekten uyuyamıyorum stresim geçmiyor,geceleri düşünmekten uyuyamıyorum stresim geçmiyor,gece düşün uyu stres geç
Kendimi sıkışmış gibi hissediyorum.,stresli,kendimi sıkışmış hissediyorum,kendimi sıkışmış hissediyorum,kendi sıkış hisset
Her gün işe gitmek beni daha fazla geriyor.,stresli,gün işe gitmek beni fazla geriyor,gün işe gitmek beni fazla geriyor,gün iş git ben fazla ger
Tek başıma bu kadar yükü taşıyamam.,stresli,tek başıma yükü taşıyamam,tek başıma yükü taşıyamam,tek baş yük taşı
Hayatımda her şey üstüme üstüme geliyor.,stresli,hayatımda şey üstüme üstüme geliyor,hayatımda şey üstüme üstüme geliyor,hayat şey üst üst gel
Dinlenmeye zamanım kalmadı.,stresli,dinlenmeye zamanım kalmadı,dinlenmeye zamanım kalmadı,dinlen zaman kal
"Zaman yetmiyor, gün içinde sürekli koşturuyorum.",stresli,zaman yetmiyor gün içinde sürekli koşturuyorum,zaman yetmiyor gün içinde sürekli koşturuyorum,zaman yet gün iç sürekli koştur
Ufacık detaylara bile kafayı takar oldum.,stresli,ufacık detaylara bile kafayı takar oldum,ufacık detaylara kafayı takar oldum,ufacık detay bile kafa tak ol
"Sınav haftası boyunca midem ağrıyor, stresten yemek bile yiyemiyorum.",stresli,sınav haftası boyunca midem ağrıyor stresten yemek bile yiyemiyorum,sınav haftası boyunca midem ağrıyor stresten yemek yiyemiyorum,sınav hafta boyunca mide ağrı stres yemek bile ye
Kendime ayıracak 5 dakikam bile yok.,stresli,kendime ayıracak 5 dakikam bile yok,kendime ayıracak 5 dakikam yok,kendi ayır 5 dakika bile yok
"Her gün işe gitmeden önce karnım ağrıyor, stres bedenimi ele geçirmiş.",stresli,gün işe gitmeden önce karnım ağrıyor stres bedenimi ele geçirmiş,gün işe gitmeden önce karnım ağrıyor stres bedenimi ele geçirmiş,gün iş git önce karın ağrı stres beden el geçir
İnsanlardan uzak kalmak istiyorum.,stresli,i̇nsanlardan uzak kalmak istiyorum,i̇nsanlardan uzak kalmak istiyorum,UNK uzak kal iste
"Sürekli yetiştirmem gereken şeyler var, kafam hiç rahat değil.",stresli,sürekli yetiştirmem gereken şeyler var kafam rahat değil,sürekli yetiştirmem gereken şeyler var kafam rahat değil,sürekli yetiş gerek şey var kafa rahat değil
Stres artık normalim oldu.,stresli,stres artık normalim oldu,stres normalim oldu,stres artık normal ol
"Gün boyu hiçbir şey yapmasam da bitkinim, bu stres beni mahvediyor.",stresli,gün boyu hiçbir şey yapmasam bitkinim stres beni mahvediyor,gün boyu hiçbir şey yapmasam bitkinim stres beni mahvediyor,gün boy hiçbir şey yap bitkin stres ben mahvet
Herkese yetişmeye çalışmaktan yoruldum.,stresli,herkese yetişmeye çalışmaktan yoruldum,herkese yetişmeye çalışmaktan yoruldum,herkes yetiş çalış yor
İnsanlarla uğraşmak beni inanılmaz geriyor.,stresli,i̇nsanlarla uğraşmak beni inanılmaz geriyor,i̇nsanlarla uğraşmak beni inanılmaz geriyor,UNK uğraş ben inan ger
Çok az uyuyorum ama hala işler birikiyor.,stresli,uyuyorum hala işler birikiyor,uyuyorum işler birikiyor,uy hala iş birik
Patronun beklentileri beni baskı altında hissettiriyor.,stresli,patronun beklentileri beni baskı altında hissettiriyor,patronun beklentileri beni baskı altında hissettiriyor,patron beklenti ben baskı alt hisset
Kalbim gün içinde aniden hızlı atmaya başlıyor.,stresli,kalbim gün içinde aniden hızlı atmaya başlıyor,kalbim gün içinde aniden hızlı atmaya başlıyor,kalp gün iç aniden hız at başla
"Çok fazla sorumluluğum var, hangisini önce yapacağımı bilemiyorum.",stresli,fazla sorumluluğum var hangisini önce yapacağımı bilemiyorum,fazla sorumluluğum var hangisini önce yapacağımı bilemiyorum,fazla sorumluluk var hangi önce yap bil
Telefona bakarken bile içimde huzursuzluk oluyor.,stresli,telefona bakarken bile içimde huzursuzluk oluyor,telefona bakarken içimde huzursuzluk oluyor,telefon bak bile içim huzur ol
Annemle olan ilişkimiz beni sürekli strese sokuyor.,stresli,annemle olan ilişkimiz beni sürekli strese sokuyor,annemle olan ilişkimiz beni sürekli strese sokuyor,anne ol ilişki ben sürekli stres sok
Zamanla yarışır gibiyim.,stresli,zamanla yarışır gibiyim,zamanla yarışır gibiyim,zaman yarış gibi
İlişkimdeki belirsizlik beni çok yıpratıyor.,stresli,i̇lişkimdeki belirsizlik beni yıpratıyor,i̇lişkimdeki belirsizlik beni yıpratıyor,UNK belirsiz ben yıprat
İşe odaklanamıyorum çünkü sürekli aklım başka yerde.,stresli,i̇şe odaklanamıyorum sürekli aklım başka yerde,i̇şe odaklanamıyorum sürekli aklım başka yerde,UNK odakla sürekli akıl başka yer
Herkesin benden mükemmel olmamı beklemesi dayanılmaz.,stresli,herkesin benden mükemmel olmamı beklemesi dayanılmaz,herkesin benden mükemmel olmamı beklemesi dayanılmaz,herkes ben mükemmel ol bekle dayanılmaz
Sürekli tetikte olmak yıpratıcı.,stresli,sürekli tetikte olmak yıpratıcı,sürekli tetikte olmak yıpratıcı,sürekli tetik ol yıprat
Trafikte geçirdiğim zaman sinir sistemimi mahvediyor.,stresli,trafikte geçirdiğim zaman sinir sistemimi mahvediyor,trafikte geçirdiğim zaman sinir sistemimi mahvediyor,trafik geçir zaman sinir sistem mahvet
Okul-iş arasında gidip gelmek psikolojimi bozuyor.,stresli,okuliş arasında gidip gelmek psikolojimi bozuyor,okuliş arasında gidip gelmek psikolojimi bozuyor,UNK ara git gel psikoloji boz
Küçük şeyler bile beni çok kolay strese sokuyor.,stresli,küçük şeyler bile beni kolay strese sokuyor,küçük şeyler beni kolay strese sokuyor,küçük şey bile ben kolay stres sok
Sorumluluklarımı unutacağım korkusuyla her şeyi not alıyorum.,stresli,sorumluluklarımı unutacağım korkusuyla şeyi not alıyorum,sorumluluklarımı unutacağım korkusuyla şeyi not alıyorum,sorumluluk unut korku şe not al
Sürekli tetikte olmak zorundaymışım gibi hissediyorum.,stresli,sürekli tetikte olmak zorundaymışım hissediyorum,sürekli tetikte olmak zorundaymışım hissediyorum,sürekli tetik ol zor hisset
"İnsanlar beni anlamıyor, bu da beni strese sokuyor.",stresli,i̇nsanlar beni anlamıyor beni strese sokuyor,i̇nsanlar beni anlamıyor beni strese sokuyor,UNK ben anla ben stres sok
Maddi sıkıntılarım beni geceleri bile rahat bırakmıyor.,stresli,maddi sıkıntılarım beni geceleri bile rahat bırakmıyor,maddi sıkıntılarım beni geceleri rahat bırakmıyor,maddi sıkıntı ben gece bile rahat bırak
Kendimi hep eksik hissediyorum.,stresli,kendimi hep eksik hissediyorum,kendimi eksik hissediyorum,kendi hep eksik hisset
